region,region_code,period,all_providers,all_primary_care_providers,all_physicians,all_primary_care_physicians,all_nurse_practitioners,all_primary_care_nurse_practitioners,all_physician_assistants,all_primary_care_physician_assistants
Alabama,AL,2011,9676,4064,8281,3341,1036,617,359,106
Alaska,AK,2011,1933,975,1445,647,246,162,242,166
Arizona,AZ,2011,14530,5898,11622,4312,1619,970,1289,616
Arkansas,AR,2011,5456,2520,4589,1964,716,479,151,77
California,CA,2011,76529,32382,66738,26511,5043,3291,4748,2580
Colorado,CO,2011,12331,5253,9777,3774,1129,716,1425,763
Connecticut,CT,2011,10542,4068,8819,3215,1012,586,712,267
Delaware,DE,2011,2298,927,1908,748,239,130,151,49
Florida,FL,2011,44861,18140,37148,14480,4512,2483,3201,1177
Georgia,GA,2011,19413,8287,15722,6383,1963,1276,1728,628
Hawaii,HI,2011,2855,1251,2615,1098,145,100,95,53
Idaho,ID,2011,3626,1584,2715,1042,416,269,495,273
Illinois,IL,2011,27624,12095,24212,10234,1893,1175,1519,686
Indiana,IN,2011,14534,5995,12169,4778,1876,1070,489,147
Iowa,IA,2011,6313,3043,4937,2190,745,472,632,381
Kansas,KS,2011,6628,3028,5109,2198,878,506,641,324
Kentucky,KY,2011,10127,4488,8038,3229,1492,952,598,307
Louisiana,LA,2011,9975,4029,8481,3238,1088,667,406,124
Maine,ME,2011,3992,1935,3078,1364,574,387,340,184
Maryland,MD,2011,14306,5997,12327,4944,1095,678,884,375
Massachusetts,MA,2011,20107,8525,16903,6676,2398,1537,806,312
Michigan,MI,2011,23388,10499,19930,8624,1589,969,1869,906
Minnesota,MN,2011,12990,5778,10760,4470,1285,823,944,485
Mississippi,MS,2011,5977,2726,4738,1891,1153,808,85,27
Missouri,MO,2011,13678,5786,11458,4441,1819,1207,401,138
Montana,MT,2011,2495,1163,1905,802,299,205,291,156
Nebraska,NE,2011,4841,2123,3663,1476,529,278,649,369
Nevada,NV,2011,5067,2013,4276,1581,390,249,401,183
New Hampshire,NH,2011,3671,1669,2863,1217,503,324,306,128
New Jersey,NJ,2011,21599,8700,19449,7735,1373,704,777,261
New Mexico,NM,2011,4325,1991,3453,1438,506,350,366,203
New York,NY,2011,54784,22017,46387,17821,4715,2566,3681,1630
North Carolina,NC,2011,22057,9680,17127,7076,2162,1357,2769,1247
North Dakota,ND,2011,1785,780,1359,529,263,156,163,95
Ohio,OH,2011,26510,10584,23274,9071,2272,1219,965,294
Oklahoma,OK,2011,7359,3309,6081,2579,487,349,792,381
Oregon,OR,2011,9475,4246,7716,3252,990,671,769,323
Pennsylvania,PA,2011,34777,13572,29036,10926,2774,1491,2968,1155
Rhode Island,RI,2011,3027,1199,2607,991,282,148,138,60
South Carolina,SC,2011,10030,4309,8387,3409,1026,654,617,246
South Dakota,SD,2011,2113,958,1541,623,245,134,327,201
Tennessee,TN,2011,16152,6980,12521,4853,2842,1773,789,354
Texas,TX,2011,47688,20354,40240,15764,4041,2711,3406,1879
Utah,UT,2011,6265,2389,4964,1750,661,341,641,298
Vermont,VT,2011,1884,861,1457,606,243,163,184,92
Virginia,VA,2011,17659,7816,14588,6182,1957,1267,1114,367
Washington,WA,2011,16739,7159,13487,5444,1752,1058,1500,657
West Virginia,WV,2011,4621,2136,3640,1541,451,296,531,299
Wisconsin,WI,2011,14130,5997,11542,4739,1421,780,1168,478
Wyoming,WY,2011,1263,612,952,433,151,87,160,92
Alabama,AL,2012,9881,4180,8427,3409,1122,677,333,94
Alaska,AK,2012,1981,996,1450,638,278,187,253,171
Arizona,AZ,2012,15088,6060,12005,4428,1732,1001,1351,631
Arkansas,AR,2012,5737,2575,4795,1969,785,523,158,83
California,CA,2012,79829,33343,69606,27306,5176,3348,5047,2689
Colorado,CO,2012,12869,5380,10131,3842,1222,753,1515,785
Connecticut,CT,2012,10940,4085,9083,3225,1092,592,765,268
Delaware,DE,2012,2417,1006,1986,793,277,156,154,57
Florida,FL,2012,46932,18754,38831,14975,4675,2579,3427,1200
Georgia,GA,2012,20460,8660,16515,6661,2111,1353,1833,646
Hawaii,HI,2012,2948,1304,2696,1150,153,101,99,53
Idaho,ID,2012,3737,1694,2718,1095,475,295,543,304
Illinois,IL,2012,28560,12395,24928,10439,2055,1260,1577,696
Indiana,IN,2012,14881,6210,12385,4874,1999,1172,497,164
Iowa,IA,2012,6598,3168,5107,2246,848,540,644,382
Kansas,KS,2012,6752,3077,5164,2226,915,512,674,339
Kentucky,KY,2012,10673,4750,8377,3371,1677,1067,620,312
Louisiana,LA,2012,10527,4262,8891,3384,1191,750,446,128
Maine,ME,2012,4125,1985,3102,1362,650,426,373,197
Maryland,MD,2012,15311,6292,13153,5167,1188,713,970,412
