region,region_code,period,total_provider_types,population,providers_per_100k
Alabama,AL,2011,27480,4801627,572.31
Alabama,AL,2012,28123,4817528,583.76
Alabama,AL,2013,27098,4833722,560.6
Alaska,AK,2011,5816,723375,804.01
Alaska,AK,2012,5954,730307,815.27
Alaska,AK,2013,6066,735132,825.16
Arizona,AZ,2011,40856,6468796,631.59
Arizona,AZ,2012,42296,6551149,645.63
Arizona,AZ,2013,40756,6626624,615.03
Arkansas,AR,2011,15952,2938506,542.86
Arkansas,AR,2012,16625,2949828,563.59
Arkansas,AR,2013,15984,2959373,540.11
California,CA,2011,217822,37668681,578.26
California,CA,2012,226344,37999878,595.64
California,CA,2013,215495,38332521,562.17
Colorado,CO,2011,35168,5118400,687.09
Colorado,CO,2012,36497,5189458,703.29
Colorado,CO,2013,35297,5268367,669.98
Connecticut,CT,2011,29221,3588948,814.19
Connecticut,CT,2012,30050,3591765,836.64
Connecticut,CT,2013,30135,3596080,838.0
Delaware,DE,2011,6450,907985,710.36
Delaware,DE,2012,6846,917053,746.52
Delaware,DE,2013,6851,925749,740.05
Florida,FL,2011,126002,19083482,660.27
Florida,FL,2012,131373,19320749,679.96
Florida,FL,2013,128192,19552860,655.62
Georgia,GA,2011,55400,9810181,564.72
Georgia,GA,2012,58239,9915646,587.34
Georgia,GA,2013,58258,9992167,583.04
Hawaii,HI,2011,8212,1376897,596.41
Hawaii,HI,2012,8504,1390090,611.76
Hawaii,HI,2013,8340,1404054,593.99
Idaho,ID,2011,10420,1583930,657.86
Idaho,ID,2012,10861,1595590,680.69
Idaho,ID,2013,10521,1612136,652.61
Illinois,IL,2011,79438,12855970,617.91
Illinois,IL,2012,81910,12868192,636.53
Illinois,IL,2013,79800,12882135,619.46
Indiana,IN,2011,41058,6516336,630.08
Indiana,IN,2012,42182,6537782,645.2
Indiana,IN,2013,42235,6570902,642.76
Iowa,IA,2011,18713,3064102,610.72
Iowa,IA,2012,19533,3075039,635.21
Iowa,IA,2013,19665,3090416,636.32
Kansas,KS,2011,19312,2869548,673.0
Kansas,KS,2012,19659,2885398,681.33
Kansas,KS,2013,19193,2893957,663.21
Kentucky,KY,2011,29231,4366869,669.38
Kentucky,KY,2012,30847,4379730,704.31
Kentucky,KY,2013,30368,4395295,690.92
Louisiana,LA,2011,28008,4575197,612.17
Louisiana,LA,2012,29579,4602134,642.72
Louisiana,LA,2013,29204,4625470,631.37
Maine,ME,2011,11854,1327844,892.73
Maine,ME,2012,12220,1328501,919.83
Maine,ME,2013,11823,1328302,890.08
Maryland,MD,2011,40606,5840241,695.28
Maryland,MD,2012,43206,5884868,734.19
Maryland,MD,2013,41952,5928814,707.6
Massachusetts,MA,2011,57264,6606285,866.81
Massachusetts,MA,2012,60107,6645303,904.5
Massachusetts,MA,2013,59973,6692824,896.08
Michigan,MI,2011,67774,9874589,686.35
Michigan,MI,2012,69292,9882519,701.16
Michigan,MI,2013,67647,9895622,683.61
Minnesota,MN,2011,37535,5347108,701.97
Minnesota,MN,2012,38598,5379646,717.48
Minnesota,MN,2013,37047,5420380,683.48
Mississippi,MS,2011,17405,2977886,584.48
Mississippi,MS,2012,17550,2986450,587.65
Mississippi,MS,2013,17725,2991207,592.57
Missouri,MO,2011,38928,6010065,647.71
Missouri,MO,2012,40919,6024522,679.21
Missouri,MO,2013,41032,6044171,678.87
Montana,MT,2011,7316,997600,733.36
Montana,MT,2012,7518,1005494,747.69
Montana,MT,2013,7342,1015165,723.23
Nebraska,NE,2011,13928,1841749,756.24
Nebraska,NE,2012,14296,1855350,770.53
Nebraska,NE,2013,14120,1868516,755.68
Nevada,NV,2011,14160,2717951,520.98
Nevada,NV,2012,14416,2754354,523.39
Nevada,NV,2013,13680,2790136,490.3
New Hampshire,NH,2011,10681,1318075,810.35
New Hampshire,NH,2012,11128,1321617,842.0
New Hampshire,NH,2013,10533,1323459,795.87
New Jersey,NJ,2011,60598,8836639,685.76
New Jersey,NJ,2012,61982,8867749,698.96
New Jersey,NJ,2013,61726,8899339,693.6
New Mexico,NM,2011,12632,2077919,607.92
New Mexico,NM,2012,13180,2083540,632.58
New Mexico,NM,2013,12363,2085287,592.87
New York,NY,2011,153601,19502728,787.59
New York,NY,2012,157644,19576125,805.29
New York,NY,2013,152604,19651127,776.57
North Carolina,NC,2011,63475,9651377,657.68
North Carolina,NC,2012,66874,9748364,686.0
North Carolina,NC,2013,66166,9848060,671.87
North Dakota,ND,2011,5130,684867,749.05
North Dakota,ND,2012,5482,701345,781.64
North Dakota,ND,2013,5337,723393,737.77
Ohio,OH,2011,74189,11549772,642.34
Ohio,OH,2012,76896,11553031,665.59
Ohio,OH,2013,75467,11570808,652.22
Oklahoma,OK,2011,21337,3785534,563.65
Oklahoma,OK,2012,22356,3815780,585.88
Oklahoma,OK,2013,21678,3850568,562.98
Oregon,OR,2011,27442,3867937,709.47
Oregon,OR,2012,28566,3899801,732.5
Oregon,OR,2013,27450,3930065,698.46
Pennsylvania,PA,2011,96699,12741310,758.94
Pennsylvania,PA,2012,99410,12764475,778.8
Pennsylvania,PA,2013,97154,12773801,760.57
Rhode Island,RI,2011,8452,1050350,804.68
Rhode Island,RI,2012,8694,1050304,827.76
Rhode Island,RI,2013,8430,1051511,801.7
South Carolina,SC,2011,28678,4673509,613.63
South Carolina,SC,2012,29424,4723417,622.94
South Carolina,SC,2013,29293,4774839,613.49
South Dakota,SD,2011,6142,823772,745.59
South Dakota,SD,2012,6366,834047,763.27
South Dakota,SD,2013,6259,844877,740.82
Tennessee,TN,2011,46264,6398361,723.06
Tennessee,TN,2012,48518,6454914,751.64
Tennessee,TN,2013,47445,6495978,730.38
Texas,TX,2011,136083,25640909,530.73
Texas,TX,2012,141817,26060796,544.18
Texas,TX,2013,137997,26448193,521.76
Utah,UT,2011,17309,2814784,614.93
Utah,UT,2012,18052,2854871,632.32
Utah,UT,2013,17425,2900872,600.68
Vermont,VT,2011,5490,626320,876.55
Vermont,VT,2012,5688,625953,908.69
Vermont,VT,2013,5508,626630,878.99
Virginia,VA,2011,50950,8105850,628.56
Virginia,VA,2012,53444,8186628,652.82
Virginia,VA,2013,53112,8260405,642.97
Washington,WA,2011,47796,6821481,700.67
Washington,WA,2012,49546,6895318,718.55
Washington,WA,2013,48173,6971406,691.01
West Virginia,WV,2011,13515,1855184,728.5
West Virginia,WV,2012,14163,1856680,762.81
West Virginia,WV,2013,13537,1854304,730.03
Wisconsin,WI,2011,40255,5708785,705.14
Wisconsin,WI,2012,41171,5724554,719.2
Wisconsin,WI,2013,39217,5742713,682.9
Wyoming,WY,2011,3750,567329,660.99
Wyoming,WY,2012,3928,576626,681.2
Wyoming,WY,2013,3870,582658,664.2
